z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayMode,branchingRatio,branchingRatioUncertainty,betaMinus,betaMinusUncertainty
6,4,10C,0,19.3015,s,0.0018,ε+β+,100,,-2.31E+4,4.00E+2
6,5,11C,0,20.3401,m,0.0041,ε+β+,100,,-1.37E+4,5.00
6,8,14C,0,5686,y,22,β⁻,100,,1.56E+2,3.70E-3
6,9,15C,0,2.451,s,0.004,β⁻,100,,9.77E+3,8.00E-1
6,14,20C,0,16,ms,3.0,β⁻n,66,10,1.57E+4,2.43E+2
6,14,20C,0,16,ms,3.0,β⁻2n,18.6,,1.57E+4,2.43E+2
6,14,20C,0,16,ms,3.0,β⁻,100,,1.57E+4,2.43E+2
6,13,19C,0,46.3,ms,2.3,β⁻n,47,3,1.65E+4,9.97E+1
6,13,19C,0,46.3,ms,2.3,β⁻2n,7,3,1.65E+4,9.97E+1
6,13,19C,0,46.3,ms,2.3,β⁻,100,,1.65E+4,9.97E+1
6,16,22C,0,6.1,ms,+1.4-1.2,β⁻n,61,,2.18E+4,3.11E+2
6,16,22C,0,6.1,ms,+1.4-1.2,β⁻2n,37,,2.18E+4,3.11E+2
6,16,22C,0,6.1,ms,+1.4-1.2,β⁻,100,,2.18E+4,3.11E+2
6,10,16C,0,750,ms,5,β⁻,100,,8.01E+3,4.25
6,10,16C,0,750,ms,5,β⁻n,99.28,0.12,8.01E+3,4.25
6,12,18C,0,92,ms,2,β⁻n,31.5,1.5,1.18E+4,3.52E+1
6,12,18C,0,92,ms,2,β⁻,100,,1.18E+4,3.52E+1
6,12,18C,0,92,ms,2,β⁻2n,,,1.18E+4,3.52E+1
6,11,17C,0,193,ms,5,β⁻n,28.4,1.3,1.31E+4,2.29E+1
6,11,17C,0,193,ms,5,β⁻,100,,1.31E+4,2.29E+1
6,11,17C,0,193,ms,5,β⁻2n,,,1.31E+4,2.29E+1
7,15,22N,0,20.9,ms,2.1,β⁻n,34,2,2.24E+4,2.15E+2
7,15,22N,0,20.9,ms,2.1,β⁻2n,12,3,2.24E+4,2.15E+2
7,15,22N,0,20.9,ms,2.1,β⁻,100,,2.24E+4,2.15E+2
7,14,21N,0,85.3,ms,4.5,β⁻n,86.5,3.7,1.71E+4,1.34E+2
7,14,21N,0,85.3,ms,4.5,β⁻,100,,1.71E+4,1.34E+2
7,14,21N,0,85.3,ms,4.5,β⁻2n,,,1.71E+4,1.34E+2
7,17,24N,0,52,ns,<,n,,,2.84E+4,4.33E+2
7,16,23N,0,14.1,ms,+1.2-1.5,β⁻3n,3.4,,2.20E+4,4.37E+2
7,16,23N,0,14.1,ms,+1.2-1.5,β⁻2n,8,4,2.20E+4,4.37E+2
7,16,23N,0,14.1,ms,+1.2-1.5,β⁻,100,,2.20E+4,4.37E+2
7,16,23N,0,14.1,ms,+1.2-1.5,β⁻n,42,6,2.20E+4,4.37E+2
7,11,18N,0,619,ms,2,β⁻ɑ,12.2,0.6,1.38E+4,1.85E+1
7,11,18N,0,619,ms,2,β⁻,100,,1.38E+4,1.85E+1
7,11,18N,0,619,ms,2,β⁻n,8.3,1.3,1.38E+4,1.85E+1
7,11,18N,0,619,ms,2,β⁻2n,,,1.38E+4,1.85E+1
7,10,17N,0,4.171,s,0.003,β⁻n,95.1,0.7,8.67E+3,1.50E+1
7,10,17N,0,4.171,s,0.003,β⁻,100,,8.67E+3,1.50E+1
7,10,17N,0,4.171,s,0.003,β⁻ɑ,0.0025,0.0004,8.67E+3,1.50E+1
7,13,20N,0,136,ms,3,β⁻n,42.9,1.4,1.79E+4,7.88E+1
7,13,20N,0,136,ms,3,β⁻2n,4.5,,1.79E+4,7.88E+1
7,13,20N,0,136,ms,3,β⁻,100,,1.79E+4,7.88E+1
7,12,19N,0,336,ms,3,β⁻,100,,1.25E+4,1.66E+1
7,12,19N,0,336,ms,3,β⁻n,41.8,0.9,1.25E+4,1.66E+1
7,3,10N,0,2.5,MeV,+2.0-1.5,p,100,,,
7,4,11N,0,780,keV,10,p,100,,-2.33E+4,6.02E+1
7,5,12N,0,10.996,ms,0.015,εɑ,1.93,0.04,-1.46E+4,1.20E+1
7,5,12N,0,10.996,ms,0.015,ε+β+,100,,-1.46E+4,1.20E+1
7,6,13N,0,9.967,m,0.004,ε+β+,100,,-1.77E+4,9.53
7,9,16N,0,7.13,s,0.01,β⁻,100,,1.04E+4,2.30
7,9,16N,0,7.13,s,0.01,β⁻ɑ,0.00154,0.00005,1.04E+4,2.30
8,17,25O,0,88,keV,6,n,100,,1.59E+4,1.91E+2
8,18,26O,0,0.0045,ns,+0.0032-0.0034,2n,100,,1.59E+4,1.96E+2
8,15,23O,0,96,ms,8,β⁻,100,,1.13E+4,1.26E+2
8,15,23O,0,96,ms,8,β⁻n,7,2,1.13E+4,1.26E+2
8,16,24O,0,72,ms,4,β⁻,100,,1.09E+4,1.91E+2
8,16,24O,0,72,ms,4,β⁻n,41,3,1.09E+4,1.91E+2
8,13,21O,0,3.42,s,0.1,β⁻,100,,8.10E+3,1.21E+1
8,14,22O,0,2.19,s,0.16,β⁻,100,,6.48E+3,5.82E+1
8,14,22O,0,2.19,s,0.16,β⁻n,22,,6.48E+3,5.82E+1
8,11,19O,0,26.47,s,0.006,β⁻,100,,4.82E+3,2.63
8,12,20O,0,13.51,s,0.04,β⁻,100,,3.81E+3,8.85E-1
8,20,28O,0+X,100,ns,<,2n,,,1.86E+4,7.09E+2
8,3,11O,0,2.31,MeV,0.14,2p,100,,,
8,4,12O,0,51,keV,19,2p,100,,,
8,5,13O,0,8.58,ms,0.07,εp,10.8,2,-1.89E+4,5.00E+2
8,5,13O,0,8.58,ms,0.07,ε+β+,100,,-1.89E+4,5.00E+2
8,6,14O,0,70.6183,s,0.0074,ε+β+,100,,-2.39E+4,4.11E+1
8,7,15O,0,122.268,s,0.043,ε+β+,100,,-1.37E+4,1.40E+1
9,18,27F,0,5.3,ms,0.3,β⁻n,90,,1.80E+4,1.50E+2
9,18,27F,0,5.3,ms,0.3,β⁻,100,,1.80E+4,1.50E+2
9,18,27F,0,5.3,ms,0.3,β⁻2n,,,1.80E+4,1.50E+2
9,19,28F,0,180,keV,40,n,100,,2.21E+4,1.74E+2
9,16,25F,0,81,ms,10,β⁻n,23.6,3.2,1.33E+4,1.00E+2
9,16,25F,0,81,ms,10,β⁻,100,,1.33E+4,1.00E+2
9,16,25F,0,81,ms,10,β⁻2n,,,1.33E+4,1.00E+2
9,17,26F,0,8.6,ms,0.7,β⁻n,14,3,1.81E+4,1.08E+2
9,17,26F,0,8.6,ms,0.7,β⁻,100,,1.81E+4,1.08E+2
9,17,26F,0,8.6,ms,0.7,β⁻2n,,,1.81E+4,1.08E+2
9,17,26F,0.6434,2.2,ms,0.1,B-n,12,8,1.81E+4,1.08E+2
9,17,26F,0.6434,2.2,ms,0.1,IT,82,11,1.81E+4,1.08E+2
9,17,26F,0.6434,2.2,ms,0.1,B-,18,11,1.81E+4,1.08E+2
9,11,20F,0,11.0064,s,0.0081,β⁻,100,,7.02E+3,2.97E-2
9,14,23F,0,2.23,s,0.14,β⁻,100,,8.43E+3,3.33E+1
9,14,23F,0,2.23,s,0.14,β⁻n,14,,8.43E+3,3.33E+1
9,15,24F,0,384,ms,15,β⁻,100,,1.34E+4,9.76E+1
9,15,24F,0,384,ms,15,β⁻n,5.9,,1.34E+4,9.76E+1
9,12,21F,0,4.158,s,0.02,β⁻,100,,5.68E+3,1.80
9,13,22F,0,4.23,s,0.04,β⁻,100,,1.08E+4,1.23E+1
9,13,22F,0,4.23,s,0.04,β⁻n,11,,1.08E+4,1.23E+1
9,21,30F,0,250,ns,<,n,,,2.56E+4,5.61E+2
9,22,31F,0,,,,β⁻,100,,2.56E+4,5.97E+2
9,22,31F,0,,,,β⁻n,,,2.56E+4,5.97E+2
9,22,31F,0,,,,β⁻2n,,,2.56E+4,5.97E+2
9,20,29F,0,3.3,ms,0.4,β⁻n,60,40,2.17E+4,5.46E+2
9,20,29F,0,3.3,ms,0.4,β⁻,100,,2.17E+4,5.46E+2
9,20,29F,0,3.3,ms,0.4,β⁻2n,,,2.17E+4,5.46E+2
9,5,14F,0,910,keV,100,p,100,,,
9,6,15F,0,0.38,MeV,0.21,p,100,,-2.36E+4,6.81E+1
9,7,16F,0,23.1,keV,3.8,p,100,,-1.33E+4,2.11E+1
9,8,17F,0,64.368,s,0.025,ε+β+,100,,-1.45E+4,4.32E-1
9,9,18F,0,109.734,m,0.008,ε+β+,100,,-4.44E+3,5.88E-1
10,13,23Ne,0,37.148,s,0.032,β⁻,100,,4.37E+3,1.04E-1
10,14,24Ne,0,3.38,m,0.02,β⁻,100,,2.46E+3,5.13E-1
10,15,25Ne,0,602,ms,8,β⁻,100,,7.32E+3,2.90E+1
10,16,26Ne,0,196,ms,2,β⁻,100,,7.34E+3,1.87E+1
10,16,26Ne,0,196,ms,2,β⁻n,0.13,0.03,7.34E+3,1.87E+1
10,17,27Ne,0,30.9,ms,1.1,β⁻n,2,0.5,1.25E+4,9.08E+1
10,17,27Ne,0,30.9,ms,1.1,β⁻,100,,1.25E+4,9.08E+1
10,17,27Ne,0,30.9,ms,1.1,β⁻2n,,,1.25E+4,9.08E+1
10,18,28Ne,0,18.7,ms,0.2,β⁻n,12,1,1.22E+4,1.26E+2
10,18,28Ne,0,18.7,ms,0.2,β⁻2n,3.7,0.5,1.22E+4,1.26E+2
10,18,28Ne,0,18.7,ms,0.2,β⁻,100,,1.22E+4,1.26E+2
10,19,29Ne,0,14,ms,0.5,β⁻n,28,6,1.57E+4,1.49E+2
10,19,29Ne,0,14,ms,0.5,β⁻2n,4,1,1.57E+4,1.49E+2
10,19,29Ne,0,14,ms,0.5,β⁻,100,,1.57E+4,1.49E+2
10,20,30Ne,0,7.3,ms,0.3,β⁻n,13,4,1.48E+4,2.53E+2
10,20,30Ne,0,7.3,ms,0.3,β⁻2n,8.9,2.3,1.48E+4,2.53E+2
10,20,30Ne,0,7.3,ms,0.3,β⁻,100,,1.48E+4,2.53E+2
10,21,31Ne,0,3.4,ms,0.8,β⁻,100,,1.89E+4,2.66E+2
10,21,31Ne,0,3.4,ms,0.8,β⁻n,,,1.89E+4,2.66E+2
10,21,31Ne,0,3.4,ms,0.8,β⁻2n,,,1.89E+4,2.66E+2
10,22,32Ne,0,4.5,ms,0.7,β⁻,100,,1.83E+4,5.04E+2
10,22,32Ne,0,4.5,ms,0.7,β⁻n,,,1.83E+4,5.04E+2
10,22,32Ne,0,4.5,ms,0.7,β⁻2n,,,1.83E+4,5.04E+2
10,23,33Ne,0,180,ns,<,n,,,2.23E+4,7.50E+2
10,24,34Ne,0,,,,β⁻n,,,2.11E+4,7.89E+2
10,24,34Ne,0,,,,β⁻2n,,,2.11E+4,7.89E+2
10,24,34Ne,0,,,,β⁻,,,2.11E+4,7.89E+2
10,9,19Ne,0,17.2569,s,0.0019,ε+β+,100,,-1.11E+4,1.05E+1
10,7,17Ne,0,109.1,ms,0.5,εɑ,3.51,0.16,-1.82E+4,5.96E+1
10,7,17Ne,0,109.1,ms,0.5,ε+β+,100,,-1.82E+4,5.96E+1
10,7,17Ne,0,109.1,ms,0.5,εp,94.4,2.9,-1.82E+4,5.96E+1
10,8,18Ne,0,1.66432,s,+0.00056-0.00055,ε+β+,100,,-1.97E+4,9.38E+1
10,5,15Ne,0,0.59,MeV,0.23,2p,100,,,
10,6,16Ne,0,80,keV,<,2p,100,,,
11,9,20Na,0,448,ms,2,εɑ,19.9,0.2,-1.06E+4,2.16
11,9,20Na,0,448,ms,2,ε+β+,100,,-1.06E+4,2.16
11,8,19Na,0,40,keV,<,p,100,,-1.89E+4,6.09E+1
11,7,18Na,0,0.2,MeV,<=,p,100,,,
11,6,17Na,0,,,,p,100,,,
11,21,32Na,0,13.2,ms,0.3,β⁻n,24,7,1.94E+4,3.74E+1
11,21,32Na,0,13.2,ms,0.3,β⁻2n,8.3,2.1,1.94E+4,3.74E+1
11,21,32Na,0,13.2,ms,0.3,β⁻,100,,1.94E+4,3.74E+1
11,20,31Na,0,17,ms,0.2,β⁻n,38.8,3.8,1.53E+4,1.43E+1
11,20,31Na,0,17,ms,0.2,β⁻2n,0.87,0.24,1.53E+4,1.43E+1
11,20,31Na,0,17,ms,0.2,β⁻,100,,1.53E+4,1.43E+1
11,23,34Na,0,5.5,ms,1.0,β⁻n,15,,2.33E+4,5.99E+2
11,23,34Na,0,5.5,ms,1.0,β⁻2n,50,,2.33E+4,5.99E+2
11,23,34Na,0,5.5,ms,1.0,β⁻,100,,2.33E+4,5.99E+2
11,22,33Na,0,8.2,ms,0.2,β⁻n,47,6,1.88E+4,4.49E+2
11,22,33Na,0,8.2,ms,0.2,β⁻2n,13,3,1.88E+4,4.49E+2
11,22,33Na,0,8.2,ms,0.2,β⁻,100,,1.88E+4,4.49E+2
11,24,35Na,0,2.4,ms,0.4,β⁻,100,,2.21E+4,7.23E+2
11,24,35Na,0,2.4,ms,0.4,β⁻n,,,2.21E+4,7.23E+2
11,24,35Na,0,2.4,ms,0.4,β⁻2n,,,2.21E+4,7.23E+2
11,26,37Na,0,,,,β⁻,100,,2.49E+4,9.80E+2
11,26,37Na,0,,,,β⁻n,,,2.49E+4,9.80E+2
11,26,37Na,0,,,,β⁻2n,,,2.49E+4,9.80E+2
11,10,21Na,0,22.4548,s,0.0053,ε+β+,100,,-1.30E+4,7.55E-1
11,11,22Na,0,2.6019,y,0.0005,ε+β+,100,,-4.78E+3,1.63E-1
11,14,25Na,0,58.9,s,0.6,β⁻,100,,3.83E+3,1.20
11,13,24Na,0,14.9578,h,0.0011,β⁻,100,,5.51E+3,2.10E-2
11,16,27Na,0,301,ms,5,β⁻,100,,9.06E+3,3.72
11,16,27Na,0,301,ms,5,β⁻n,0.13,0.03,9.06E+3,3.72
11,15,26Na,0,1.07128,s,0.00025,β⁻,100,,9.35E+3,3.50
11,18,29Na,0,43.2,ms,0.4,β⁻n,24.7,2.5,1.32E+4,7.34
11,18,29Na,0,43.2,ms,0.4,β⁻,100,,1.32E+4,7.34
11,18,29Na,0,43.2,ms,0.4,β⁻2n,,,1.32E+4,7.34
11,17,28Na,0,34.6,ms,1.0,β⁻,100,,1.40E+4,1.02E+1
11,17,28Na,0,34.6,ms,1.0,β⁻n,0.58,0.12,1.40E+4,1.02E+1
11,19,30Na,0,44.8,ms,1.2,β⁻ɑ,0.000055,0.000002,1.73E+4,4.90
11,19,30Na,0,44.8,ms,1.2,β⁻2n,1.15,0.25,1.73E+4,4.90
11,19,30Na,0,44.8,ms,1.2,β⁻,100,,1.73E+4,4.90
11,19,30Na,0,44.8,ms,1.2,β⁻n,30,4,1.73E+4,4.90
12,11,23Mg,0,11.3042,s,0.0035,ε+β+,100,,-1.22E+4,3.46E-1
12,10,22Mg,0,3.87445,s,0.00069,ε+β+,100,,-1.86E+4,4.01E+2
12,15,27Mg,0,9.435,m,0.027,β⁻,100,,2.61E+3,6.69E-2
12,17,29Mg,0,1.31,s,0.13,β⁻,100,,7.59E+3,4.87E-1
12,16,28Mg,0,20.915,h,0.009,β⁻,100,,1.83E+3,2.65E-1
12,19,31Mg,0,270,ms,2,β⁻,100,,1.18E+4,3.80
12,19,31Mg,0,270,ms,2,β⁻n,6.2,1.9,1.18E+4,3.80
12,18,30Mg,0,314,ms,5,β⁻,100,,6.98E+3,2.32
12,18,30Mg,0,314,ms,5,β⁻n,0.06,,6.98E+3,2.32
12,20,32Mg,0,80.4,ms,0.4,β⁻,100,,1.02E+4,7.87
12,20,32Mg,0,80.4,ms,0.4,β⁻n,5.5,0.5,1.02E+4,7.87
12,22,34Mg,0,44.9,ms,0.4,β⁻n,21,7,1.13E+4,7.20
12,22,34Mg,0,44.9,ms,0.4,β⁻,100,,1.13E+4,7.20
12,22,34Mg,0,44.9,ms,0.4,β⁻2n,,,1.13E+4,7.20
12,21,33Mg,0,90.2,ms,0.9,β⁻n,14,2,1.34E+4,7.47
12,21,33Mg,0,90.2,ms,0.9,β⁻,100,,1.34E+4,7.47
12,21,33Mg,0,90.2,ms,0.9,β⁻2n,,,1.34E+4,7.47
12,24,36Mg,0,7.2,ms,1.2,β⁻n,48,12,1.44E+4,7.06E+2
12,24,36Mg,0,7.2,ms,1.2,β⁻,100,,1.44E+4,7.06E+2
12,24,36Mg,0,7.2,ms,1.2,β⁻2n,,,1.44E+4,7.06E+2
12,23,35Mg,0,11.3,ms,0.6,β⁻n,52,46,1.58E+4,2.69E+2
12,23,35Mg,0,11.3,ms,0.6,β⁻,100,,1.58E+4,2.69E+2
12,23,35Mg,0,11.3,ms,0.6,β⁻2n,,,1.58E+4,2.69E+2
12,26,38Mg,0,3.1,ms,0.5,β⁻,100,,1.76E+4,5.25E+2
12,26,38Mg,0,3.1,ms,0.5,β⁻n,,,1.76E+4,5.25E+2
12,26,38Mg,0,3.1,ms,0.5,β⁻2n,,,1.76E+4,5.25E+2
12,25,37Mg,0,6.4,ms,1.5,β⁻,100,,1.84E+4,7.21E+2
12,25,37Mg,0,6.4,ms,1.5,β⁻n,,,1.84E+4,7.21E+2
12,25,37Mg,0,6.4,ms,1.5,β⁻2n,,,1.84E+4,7.21E+2
12,28,40Mg,0,,,,β⁻,100,,2.07E+4,5.83E+2
12,28,40Mg,0,,,,β⁻n,,,2.07E+4,5.83E+2
12,28,40Mg,0,,,,β⁻2n,,,2.07E+4,5.83E+2
12,9,21Mg,0,120,ms,0.8,εɑ,0.115,0.019,-1.61E+4,6.00E+2
12,9,21Mg,0,120,ms,0.8,ε+β+,100,,-1.61E+4,6.00E+2
12,9,21Mg,0,120,ms,0.8,εp,20.9,1.3,-1.61E+4,6.00E+2
12,8,20Mg,0,90.4,ms,0.8,εp,29.9,1.1,,
12,8,20Mg,0,90.4,ms,0.8,ε+β+,100,,,
12,7,19Mg,0,3500,fs,2800,2p,100,,,
12,6,18Mg,0,115,keV,100,2p,100,,,
13,9,22Al,0,88.6,ms,2.5,ε+β+,100,,-1.54E+4,6.41E+2
13,9,22Al,0,88.6,ms,2.5,εp,57.7,0.6,-1.54E+4,6.41E+2
13,9,22Al,0,88.6,ms,2.5,εɑ,0.079,0.041,-1.54E+4,6.41E+2
13,9,22Al,0,88.6,ms,2.5,ε2p,1.17,0.07,-1.54E+4,6.41E+2
13,8,21Al,0,35,ns,<,p,,,,
13,22,35Al,0,38.4,ms,0.3,β⁻n,38,2,1.41E+4,3.66E+1
13,22,35Al,0,38.4,ms,0.3,β⁻,100,,1.41E+4,3.66E+1
13,22,35Al,0,38.4,ms,0.3,β⁻2n,,,1.41E+4,3.66E+1
13,23,36Al,0,90,ms,40,β⁻n,31,,1.83E+4,1.65E+2
13,23,36Al,0,90,ms,40,β⁻,100,,1.83E+4,1.65E+2
13,23,36Al,0,90,ms,40,β⁻2n,,,1.83E+4,1.65E+2
13,20,33Al,0,41.5,ms,0.1,β⁻,100,,1.20E+4,7.02
13,20,33Al,0,41.5,ms,0.1,β⁻n,8.5,0.7,1.20E+4,7.02
13,21,34Al,0,53.73,ms,0.13,β⁻n,25,3,1.69E+4,2.25
13,21,34Al,0,53.73,ms,0.13,β⁻,100,,1.69E+4,2.25
13,21,34Al,0,53.73,ms,0.13,β⁻2n,,,1.69E+4,2.25
13,21,34Al,0.04647,22.1,ms,0.2,B-n,11,4,1.69E+4,2.25
13,21,34Al,0.04647,22.1,ms,0.2,B-,100,,1.69E+4,2.25
13,21,34Al,0.04647,22.1,ms,0.2,B-2n,,,1.69E+4,2.25
13,26,39Al,0,7.23,ms,0.3,β⁻n,97,,1.91E+4,3.29E+2
13,26,39Al,0,7.23,ms,0.3,β⁻,100,,1.91E+4,3.29E+2
13,26,39Al,0,7.23,ms,0.3,β⁻2n,,,1.91E+4,3.29E+2
13,27,40Al,0,5.7,ms,0.4,β⁻,100,,2.31E+4,3.24E+2
13,27,40Al,0,5.7,ms,0.4,β⁻n,,,2.31E+4,3.24E+2
13,27,40Al,0,5.7,ms,0.4,β⁻2n,,,2.31E+4,3.24E+2
13,24,37Al,0,11.4,ms,0.3,β⁻n,52,5,1.63E+4,2.13E+2
13,24,37Al,0,11.4,ms,0.3,β⁻2n,1,,1.63E+4,2.13E+2
13,24,37Al,0,11.4,ms,0.3,β⁻,100,,1.63E+4,2.13E+2
13,25,38Al,0,9,ms,0.7,β⁻n,84,19,2.06E+4,1.83E+2
13,25,38Al,0,9,ms,0.7,β⁻,100,,2.06E+4,1.83E+2
13,25,38Al,0,9,ms,0.7,β⁻2n,,,2.06E+4,1.83E+2
13,28,41Al,0,3.5,ms,0.9,β⁻,100,,2.13E+4,5.00E+2
13,28,41Al,0,3.5,ms,0.9,β⁻n,,,2.13E+4,5.00E+2
13,28,41Al,0,3.5,ms,0.9,β⁻2n,,,2.13E+4,5.00E+2
13,29,42Al,0,,,,β⁻,100,,2.51E+4,5.83E+2
13,29,42Al,0,,,,β⁻n,,,2.51E+4,5.83E+2
13,29,42Al,0,,,,β⁻2n,,,2.51E+4,5.83E+2
13,30,43Al,0,,,,β⁻,100,,2.39E+4,7.21E+2
13,30,43Al,0,,,,β⁻n,,,2.39E+4,7.21E+2
13,30,43Al,0,,,,β⁻2n,,,2.39E+4,7.21E+2
13,11,24Al,0,2.053,s,0.004,εɑ,0.035,0.006,-1.07E+4,1.94E+1
13,11,24Al,0,2.053,s,0.004,ε+β+,100,,-1.07E+4,1.94E+1
